uid,всего,event,lib,course,test
u1335,1,1,0,0,0
u1333,2,2,0,0,0
u1332,1,1,0,0,0
u1331,1,1,0,0,0
u133,1,1,0,0,0
u1323,1,1,0,0,0
u1315,1,1,0,0,0
u1313,1,1,0,0,0
u1311,1,1,0,0,0
u1310,1,1,0,0,0
u131,1,1,0,0,0
u1305,1,0,0,1,0
u1300,1,1,0,0,0
u13,1,1,0,0,0
u1296,2,2,0,0,0
u1295,1,1,0,0,0
u1294,3,2,1,0,0
u1293,2,2,0,0,0
u1292,2,2,0,0,0
u1272,1,1,0,0,0
u1258,1,1,0,0,0
u1256,1,1,0,0,0
u1254,1,1,0,0,0
u1253,1,1,0,0,0
u1252,1,1,0,0,0
u125,2,2,0,0,0
u124,1,1,0,0,0
u1219,1,1,0,0,0
u1212,1,1,0,0,0
u1211,2,1,0,1,0
u1210,2,2,0,0,0
u1206,1,1,0,0,0
u1204,3,3,0,0,0
u1199,2,2,0,0,0
u1193,2,2,0,0,0
u1178,1,1,0,0,0
u1177,2,2,0,0,0
u1156,1,1,0,0,0
u1151,2,2,0,0,0
u1144,2,2,0,0,0
u1141,1,1,0,0,0
u113,1,1,0,0,0
u1128,3,3,0,0,0
u1123,1,1,0,0,0
u1120,1,1,0,0,0
u1106,1,1,0,0,0
u110,2,2,0,0,0
u109,1,1,0,0,0
u1088,1,1,0,0,0
u1083,1,1,0,0,0
u1081,1,1,0,0,0
u107,2,2,0,0,0
u1063,1,1,0,0,0
u106,2,2,0,0,0
u1046,1,1,0,0,0
u1044,1,1,0,0,0
u1038,1,1,0,0,0
u1031,1,1,0,0,0
u1015,1,1,0,0,0
u1004,1,1,0,0,0
u1002,1,1,0,0,0
